Feature,Instance,X,Y,Checkin
A,81,2460.18,4253.2,1061
A,82,1536.9,992.46,850
A,83,128.94,4293.44,450
A,84,2571.24,1960.1,1102
A,85,3020.73,1947.23,412
A,86,3864.59,3613.12,2514
A,87,475.41,3903.49,756
A,88,69.94,725.51,743
A,89,3196.61,3734.22,1127
A,90,1664.02,2649.84,567
A,91,3501.89,4419.44,1553
A,92,2360.74,2622.41,731
A,93,744.32,4703.31,640
A,94,1895.44,3513.13,609
A,95,1947.79,450.99,1397
A,96,3834.6,907.74,63
A,97,3360.97,3251.64,1672
A,98,4086.87,1261.76,73
A,99,1981.74,1110.47,603
A,100,4455.1,333.59,167
A,101,846.45,165.47,2034
A,102,3396.26,1320.32,1737
A,103,2563.8,3903.23,98
A,104,4163.53,466.75,1148
A,105,1069.45,2935.25,680
A,106,3199.01,853.38,1442
A,107,3075.03,4729.91,332
A,108,2171.58,2164.69,142
A,109,3034.78,4782.76,600
A,110,2647.2,4803.51,3433
A,111,3727.74,2930.53,865
A,112,2672.72,2871.68,873
A,113,61.05,1636.73,950
A,114,3627.8,2610.69,219
A,115,4045.07,2912.44,773
A,116,689.51,3275.06,657
A,117,2271.08,3537.78,1151
A,118,1927.36,2713.25,930
A,119,2674.39,4215.23,489
A,120,1957.65,417.1,5251
A,121,4225.98,950.42,983
A,122,3384.68,642.24,1565
A,123,568.9,2059.2,2143
A,124,2658.47,1422.25,1499
A,125,3592.95,819.16,1960
A,126,1087.37,3137.34,116
A,127,2461.52,1296.52,942
A,128,456.45,2334.9,335
A,129,2196.18,2299.02,221
A,130,1171.26,1782.25,668
A,131,1741.24,544.65,1321
A,132,4015.99,3604.02,818
A,133,692.69,1235.05,1439
A,134,3094.45,3617.83,1079
A,135,477.79,3667.75,1707
A,136,113.16,2099.14,632
A,137,2796.02,2941.23,1919
A,138,4505.92,1604.56,552
A,139,2989.38,2260.09,1473
A,140,1448.76,2529.74,299
A,141,4262.89,3954.3,651
A,142,841.83,1448.85,554
A,143,1957.55,3111.42,40
A,144,3239.49,1884.1,254
A,145,4148.34,2375.47,2145
A,146,346.83,387.7,699
A,147,91.24,4195.88,236
A,148,3426.85,4187.29,423
A,149,1597.55,1696.51,436
A,150,1582.21,3267.01,44
A,151,2087.34,2908.91,1618
A,152,4412.56,4972.07,557
A,153,1300.79,4451.03,44
A,154,4017.83,4035.25,786
A,155,2149.04,3590.6,1343
A,156,1415.82,3667.31,2045
A,157,4872.63,2498.67,2570
A,158,2964.13,3585.55,1323
A,159,799.03,815.04,473
A,160,3195.09,121.15,2050
A,161,1080.6,751.97,3776
A,162,1066.25,3372.37,920
A,163,797.24,3584.13,1480
A,164,2610.78,4525.12,1526
A,165,2913.81,4741.13,168
A,166,3346.43,3963.5,2458
A,167,3897.45,1054.62,403
A,168,3189.14,507.79,1755
A,169,3036.67,1190.54,363
A,170,3992.69,4945.61,1950
A,171,2758.9,1406.45,3092
A,172,2032.93,4464.46,1639
A,173,4972.85,1082.33,1168
A,174,971.38,2117.3,752
A,175,2064.42,2752.32,66
A,176,4717.69,519.35,1047
A,177,1492.48,2005.02,2228
A,178,3256.98,759.26,1297
A,179,435.89,4027.75,167
A,180,557.53,713.44,263
A,181,3009.27,2848.06,176
A,182,2131.7,985.07,55
A,183,3724.68,4464.35,194
A,184,1059.42,3201.69,826
A,185,4802.31,486.5,1701
A,186,2595.61,4299.09,1007
A,187,4532.39,2644.87,909
A,188,2599.07,4518.65,342
A,189,4237.89,4393.37,894
A,190,1992.83,1904.26,38
A,191,2223.89,3069.26,52
A,192,3895.38,1001.91,826
A,193,625.4,1560.64,1209
A,194,2736.25,557.83,2258
A,195,55.7,2018.19,213
A,196,458.01,2115.04,1584
A,197,124.82,4758.31,87
A,198,2763.22,2781.08,195
A,199,2492.1,3835.08,1187
A,200,1202.8,444.65,546
A,201,3111.34,4191.68,357
A,202,3479.96,3071.61,1543
A,203,4291.14,464.58,121
A,204,1851.04,571.75,310
A,205,4793.86,4728.04,1722
A,206,801.62,1390.6,2320
A,207,3645.15,749.5,1747
A,208,913.9,3039.73,1157
A,209,294.5,2475.82,655
A,210,4907.63,2015.05,2497
A,211,1491.77,1525.88,103
A,212,3896.96,3463.08,353
A,213,4522.57,48.95,518
A,214,809.18,3374.41,1560
A,215,4516.3,2076.69,292
A,216,2733.2,1107.31,686
A,217,1567.95,575.21,58
A,218,4505.07,3663.76,1998
A,219,1157.96,1688.33,442
A,220,4720.25,3032.09,989
A,221,3849.46,3773.85,174
A,222,3634.33,4462.17,1551
A,223,1049.7,3297.29,3858
A,224,4574.08,3583.69,1350
A,225,4577.88,1996.61,63
A,226,1375.55,4943.55,422
A,227,955.68,626.17,1030
A,228,1474.96,2178.3,987
A,229,1252.83,3491.45,1280
A,230,4076.5,72.73,438
A,231,4650.62,4085.21,1729
A,232,4736.74,3800.6,146
A,233,2720.56,2034.62,1606
A,234,2699.75,1889.66,2920
A,235,3853.13,965.62,1977
A,236,3177.0,604.31,1709
A,237,3445.9,1523.22,407
A,238,648.88,256.82,14
A,239,1888.72,2840.32,643
A,240,2178.05,2163.05,631
A,241,810.48,4314.95,993
A,242,1824.76,731.94,512
A,243,5006.31,2104.06,267
A,244,1389.76,2807.25,4136
A,245,3115.13,2723.0,379
A,246,1376.59,3711.67,873
A,247,344.85,2666.27,67
A,248,4400.34,62.3,1676
A,249,459.63,466.96,48
A,250,4471.78,1693.09,302
A,251,3538.96,1354.44,517
A,252,2406.7,3598.76,3021
A,253,3233.43,122.04,494
A,254,4123.16,2815.04,410
A,255,2145.02,1499.54,182
A,256,524.1,4759.48,286
A,257,3691.73,255.64,170
A,258,794.13,456.46,1339
A,259,4219.14,260.2,654
A,260,1591.18,3926.55,1569
A,261,2988.41,3081.06,1277
A,262,1443.4,2037.38,417
A,263,1398.12,1293.84,729
A,264,2770.46,2142.47,2694
A,265,763.27,878.53,378
A,266,1039.83,1348.1,311
A,267,3051.84,1715.53,1266
A,268,2325.61,1630.55,466
A,269,1631.82,2599.74,359
A,270,26.57,2952.01,1819
A,271,2005.45,669.71,791
A,272,4245.41,2264.15,98
A,273,3427.28,1895.35,675
A,274,3594.07,2731.34,386
A,275,3333.91,3925.82,1838
A,276,58.48,3943.28,1467
A,277,2574.89,2629.58,657
A,278,274.39,995.38,275
A,279,2319.82,326.45,2126
A,280,3634.78,1280.07,2877
A,281,4940.76,4141.39,841
A,282,2581.29,1431.17,334
A,283,1469.19,1234.9,228
A,284,2739.97,1065.97,550
A,285,2248.34,3950.64,284
A,286,3820.83,1852.71,276
A,287,1529.11,659.53,1446
A,288,4493.75,2491.5,964
A,289,3416.52,1167.86,243
A,290,1120.36,4157.76,1331
A,291,3432.53,4659.99,3567
A,292,4851.38,1168.6,440
A,293,1394.65,4201.32,727
A,294,3522.91,4162.88,478
A,295,373.73,2862.68,649
A,296,232.34,802.5,5070
A,297,491.99,402.03,2527
A,298,4990.07,1857.05,238
A,299,3954.52,2541.3,1155
A,300,4138.71,1813.74,378
A,301,449.18,2399.71,1099
A,302,1355.98,3252.72,1575
A,303,311.98,1750.07,605
A,304,3084.12,2919.64,743
A,305,4018.78,4392.07,1622
A,306,1145.05,3425.82,3682
A,307,190.55,722.85,388
A,308,4906.75,95.15,142
A,309,4342.8,842.95,251
A,310,2687.44,392.71,159
A,311,2839.91,3540.29,594
A,312,2500.2,3703.41,1212
A,313,868.75,933.19,2486
A,314,2241.81,4803.5,1738
A,315,1563.37,2705.64,464
A,316,1846.33,2125.69,230
A,317,2549.38,3630.06,63
A,318,4533.27,3996.66,614
A,319,2589.9,511.31,440
A,320,528.76,3751.97,419
A,321,4449.83,3382.07,333
A,322,3024.6,1689.07,75
A,323,2333.15,248.79,1577
A,324,3841.98,2993.55,901
A,325,4266.68,3043.56,105
A,326,3798.94,1214.95,2002
A,327,643.48,589.1,379
A,328,2976.59,2545.51,230
A,329,3495.24,2977.47,900
A,330,399.86,2204.5,1871
A,331,1067.16,3315.21,26
A,332,565.44,1771.53,442
A,333,3986.8,4356.71,89
A,334,581.91,3689.36,214
A,335,2647.89,2501.9,3683
A,336,1763.5,4102.78,716
A,337,1213.47,2959.64,21
A,338,3079.62,1113.2,3790
A,339,2315.8,1639.8,1191
A,340,391.81,4947.32,2058
A,341,5000.79,883.63,2501
A,342,2884.26,3191.99,2337
A,343,1901.7,763.93,127
A,344,4354.61,4321.47,1122
A,345,89.84,3475.94,255
A,346,4589.44,2968.19,397
A,347,877.91,100.06,20
A,348,2169.58,921.41,57
A,349,3307.43,791.12,75
A,350,1685.54,26.52,2051
A,351,154.99,4065.04,90
A,352,2183.25,821.71,2891
A,353,2524.04,1994.23,499
A,354,257.46,3188.38,906
A,355,3645.69,1018.36,953
A,356,2307.17,1619.46,57
A,357,4026.4,87.64,953
A,358,2157.89,2409.0,1892
A,359,1845.6,1555.04,631
A,360,1022.51,3310.58,907
A,361,4910.64,3457.36,6667
A,362,1316.4,4670.27,274
A,363,1456.32,4834.86,215
A,364,1332.07,2926.55,2345
A,365,4899.26,910.96,367
A,366,3403.1,1310.96,399
A,367,4864.61,1000.2,2088
A,368,1173.02,2975.77,262
A,369,2129.5,3018.78,1118
A,370,3826.0,2272.59,38
A,371,4593.64,491.96,200
A,372,2703.55,4740.3,697
A,373,613.58,3186.24,2135
A,374,115.01,1172.11,465
A,375,4703.14,1196.55,622
A,376,1724.62,3719.5,810
A,377,661.14,3694.05,450
A,378,2251.02,1871.62,572
A,379,3491.39,4607.39,1189
A,380,1216.01,472.89,2341
A,381,4855.33,886.59,982
A,382,1499.39,4221.36,55
A,383,998.85,3967.32,132
A,384,1606.03,2602.67,1364
A,385,494.76,3314.39,531
A,386,4789.16,3959.14,15
A,387,2042.66,3625.32,3437
A,388,2666.5,1672.79,2813
A,389,577.97,3542.94,492
A,390,3118.6,1272.24,2417
A,391,263.5,896.43,154
A,392,973.27,2135.65,588
A,393,4315.28,3502.4,2080
A,394,1193.34,1740.09,1146
A,395,2997.09,4161.11,2238
A,396,547.76,4128.16,1285
A,397,1817.83,1900.9,44
A,398,2406.43,4652.37,685
A,399,4028.07,3844.5,407
A,400,4409.33,4910.64,1800
A,401,4491.79,3555.52,1818
A,402,318.18,4933.76,1132
A,403,4193.8,4273.33,999
A,404,4565.76,3521.28,374
A,405,899.76,2791.41,2024
A,406,4636.23,2605.87,331
A,407,1828.38,4745.27,501
A,408,4536.97,1856.51,2620
A,409,1066.68,4472.01,683
A,410,2723.9,89.36,270
A,411,1258.84,3642.64,85
A,412,104.92,196.37,2026
A,413,3723.72,2092.71,36
A,414,726.04,4283.54,1954
A,415,3940.0,3273.83,1309
A,416,4610.25,4421.05,3906
A,417,3265.72,324.46,5768
A,418,696.02,4174.96,315
A,419,204.99,4080.71,1541
A,420,1880.9,538.41,1872
A,421,3625.62,574.83,372
A,422,3012.64,4886.71,498
A,423,4970.31,4606.15,1310
A,424,304.61,1207.34,407
A,425,970.16,3342.98,61
A,426,3216.02,2611.72,1850
A,427,2212.56,1484.98,1983
A,428,4881.28,1408.03,1817
A,429,4992.18,3697.16,696
A,430,2068.57,3205.11,1651
A,431,3326.67,3396.89,184
A,432,1046.83,912.4,1215
A,433,2472.87,4837.65,782
A,434,4318.52,1336.61,436
A,435,4730.5,2488.87,1117
A,436,637.07,1158.85,281
A,437,448.57,1154.38,2246
A,438,4488.05,2984.56,169
A,439,1242.72,865.85,57
A,440,2725.04,4818.51,25
A,441,4072.11,4829.93,352
A,442,385.93,3291.39,1255
A,443,2636.13,4917.33,482
A,444,3582.83,2254.56,405
A,445,3600.89,1814.39,1248
A,446,4163.46,4186.49,1222
A,447,2311.75,1376.52,730
A,448,2056.34,810.45,827
A,449,2981.57,3308.11,2754
A,450,344.01,1004.69,846
A,451,1334.94,3067.98,2956
A,452,2916.17,855.42,834
A,453,3782.18,3089.44,1142
A,454,4302.71,881.32,881
A,455,4977.29,1069.16,2726
A,456,3889.47,3938.16,115
A,457,3691.63,3203.61,560
A,458,1633.11,230.04,1677
A,459,1642.66,2565.35,1392
A,460,2378.1,3278.27,1164
A,461,4287.37,560.61,923
A,462,1578.44,4402.91,793
A,463,1328.33,1212.05,326
A,464,930.83,4134.93,761
A,465,2722.75,2830.61,1301
A,466,4769.12,4671.82,201
A,467,4842.2,704.73,2617
A,468,288.81,3152.73,476
A,469,189.04,1248.01,698
A,470,3032.74,4195.29,1695
A,471,2926.3,607.08,269
A,472,240.6,419.52,448
A,473,4164.93,1611.63,751
A,474,751.07,2459.74,327
A,475,53.46,3638.21,1823
A,476,3934.32,929.09,1258
A,477,2816.21,3755.84,146
A,478,1499.67,4563.42,524
A,479,488.49,969.82,1809
A,480,2998.08,4235.8,93
A,481,1852.04,3042.02,76
A,482,2417.64,3447.53,63
A,483,3270.09,4059.63,235
A,484,3221.86,411.77,192
A,485,4627.09,1740.73,2265
A,486,944.21,2978.24,264
A,487,3245.91,1300.09,438
A,488,1112.58,4835.36,892
A,489,1086.38,4788.09,702
A,490,4975.43,2096.17,853
A,491,3004.53,207.35,1047
A,492,503.52,2013.89,917
A,493,724.72,4124.23,339
A,494,2742.34,4491.81,615
A,495,115.29,4669.32,400
A,496,4289.53,3947.12,71
A,497,4016.73,2858.05,86
A,498,3025.74,1985.83,1925
A,499,2771.41,947.29,1312
A,500,1710.83,3770.1,410
A,501,3689.15,2759.24,984
A,502,4848.85,1375.04,75
A,503,3182.57,4120.99,1065
A,504,4563.53,1292.09,645
A,505,3417.96,3438.76,1124
A,506,1254.08,3376.93,30
A,507,1364.72,2317.01,797
A,508,3118.64,3452.45,2678
A,509,1375.36,3925.29,270
A,510,3855.8,3117.37,2100
A,511,1224.93,189.07,757
A,512,2623.57,257.14,73
A,513,4815.09,3347.93,464
A,514,328.6,4233.38,14
A,515,2346.31,2914.5,1539
A,516,2234.16,4669.15,1131
A,517,367.27,312.18,3160
A,518,4738.92,4967.8,141
A,519,2021.98,726.07,1696
A,520,2121.66,1539.76,109
A,521,3316.78,2990.37,910
A,522,4815.47,706.13,1007
A,523,3408.23,1315.51,216
A,524,2763.25,2412.53,768
A,525,637.87,2370.93,3535
A,526,1163.52,1238.52,651
A,527,3469.25,4917.14,1911
A,528,4319.95,2586.2,294
A,529,431.38,4571.05,487
A,530,1177.27,199.55,362
A,531,3495.67,3814.04,93
A,532,2000.03,1398.93,2838
A,533,3259.01,3274.76,1399
A,534,2746.08,1734.44,547
A,535,610.39,3707.25,2640
A,536,1123.27,4456.06,1000
A,537,3869.52,2253.05,1647
A,538,3272.27,4212.57,270
A,539,258.07,4120.19,444
A,540,4193.84,3830.1,1348
A,541,3686.87,238.67,103
A,542,688.52,2129.86,1908
A,543,77.69,3642.4,2499
A,544,2955.16,4967.03,742
A,545,2762.43,4376.51,387
A,546,2644.72,3553.09,1609
A,547,1032.0,2329.17,1480
A,548,537.52,2666.07,1440
A,549,266.29,4181.38,2054
A,550,2466.67,3984.93,1278
A,551,227.93,3530.77,1188
A,552,3020.63,1296.27,556
A,553,3929.57,3410.12,881
A,554,1015.29,3726.56,1108
A,555,2105.28,3650.86,859
A,556,3557.23,3412.06,1256
A,557,1977.19,3902.74,416
A,558,3713.31,4735.67,57
A,559,2122.56,3971.75,173
A,560,4099.56,1557.76,1209
A,561,3182.3,2467.66,1231
A,562,1736.35,3697.53,153
A,563,3130.73,1071.98,982
A,564,1739.71,3921.23,429
A,565,1270.43,277.78,186
A,566,580.22,5010.22,373
A,567,3750.88,505.79,259
A,568,2891.18,4384.56,877
A,569,2677.06,3394.46,2149
A,570,4710.68,2468.73,26
A,571,3611.66,3017.72,169
A,572,3657.15,4723.16,58
A,573,3802.34,934.24,1521
A,574,2718.37,3757.91,847
A,575,788.89,2710.71,1869
A,576,3886.83,2160.14,2143
A,577,1245.24,1781.61,748
A,578,4560.47,674.09,1178
A,579,2600.14,2341.94,345
A,580,2061.79,1375.91,1884
A,581,4810.29,3451.56,2522
A,582,660.6,992.96,549
A,583,2826.33,1795.17,828
A,584,896.28,687.41,1713
A,585,318.73,774.04,764
A,586,3173.68,2952.69,764
A,587,3646.54,1355.6,209
A,588,4341.12,4519.07,436
A,589,3142.58,888.31,66
A,590,3640.56,4849.68,715
A,591,1038.23,3746.44,149
A,592,2758.73,2991.54,419
A,593,3867.77,3996.53,845
A,594,2379.19,4064.22,1641
A,595,4825.55,327.3,837
A,596,675.25,4001.43,360
A,597,2149.88,1417.89,691
A,598,3222.82,843.28,2799
A,599,1162.5,3486.05,2255
A,600,1318.59,1642.31,893
A,601,4013.56,197.15,4551
A,602,4593.73,794.28,1666
A,603,4865.04,1971.68,1607
A,604,847.1,4219.2,809
A,605,3276.36,368.43,7481
A,606,4295.39,1257.23,421
A,607,4407.99,2195.61,114
A,608,4783.45,4877.58,1289
A,609,2834.36,2718.65,397
A,610,1822.16,3706.42,82
A,611,2134.4,1498.05,1992
A,612,2282.77,783.4,712
A,613,449.09,3719.08,3235
A,614,3703.81,2198.13,30
A,615,879.68,4116.72,133
A,616,1492.65,1041.23,199
A,617,1438.38,4668.5,2414
A,618,2317.76,1768.74,1100
A,619,1064.46,1475.73,262
A,620,2825.21,3683.6,1069
A,621,1428.75,4597.1,559
A,622,1651.64,11.37,89
A,623,25.23,274.83,764
A,624,3928.03,1946.52,314
A,625,4560.2,1463.52,1325
A,626,1711.26,1003.85,2367
A,627,3776.84,2509.44,499
A,628,2429.76,3477.55,421
A,629,3654.5,212.37,269
A,630,2717.93,3415.77,245
A,631,4173.59,2634.1,299
A,632,1859.05,2891.43,139
A,633,4832.58,4770.74,5156
A,634,2515.13,178.35,1397
A,635,1344.5,2180.6,2896
A,636,1375.14,833.84,1392
A,637,2666.71,54.84,1005
A,638,2584.42,4000.91,355
A,639,2152.32,4262.38,468
A,640,1403.74,652.84,2715
A,641,486.74,4761.27,355
A,642,2024.93,3103.55,190
A,643,3031.85,2538.1,292
A,644,2112.84,165.23,675
A,645,1554.72,3982.65,551
A,646,2320.55,4235.6,300
A,647,1326.24,4564.72,1671
A,648,1263.05,3290.37,423
A,649,3861.94,3104.82,2346
A,650,1604.15,1057.8,1005
A,651,114.11,4714.48,1330
A,652,1300.87,2641.31,515
A,653,2843.72,4611.6,798
A,654,4376.66,1073.02,154
A,655,1391.3,3334.05,363
A,656,3183.12,2876.35,1400
A,657,365.24,2269.34,272
A,658,2169.42,1210.09,1728
A,659,4524.38,5006.44,404
A,660,2462.45,2068.23,710
A,661,2667.93,582.13,519
A,662,258.59,735.54,514
A,663,2218.4,2724.79,1980
A,664,2494.42,1289.62,67
A,665,2808.49,3061.32,60
A,666,2793.11,2696.17,721
A,667,3235.01,1103.61,1807
A,668,4300.19,4466.28,200
A,669,729.74,3133.77,832
A,670,4223.52,2694.8,907
A,671,1535.27,4747.57,667
A,672,4609.94,1013.7,101
A,673,2923.27,3211.42,3609
A,674,4051.94,3898.99,1764
A,675,649.83,3494.85,1352
A,676,4337.53,645.21,174
A,677,3166.27,4061.89,689
A,678,1915.21,320.48,411
A,679,196.84,2899.4,2683
A,680,4019.88,3430.63,746
A,681,1072.73,1798.79,1356
A,682,3006.06,597.72,1226
A,683,1001.62,2545.83,28
A,684,4132.85,1710.98,641
A,685,2423.75,3399.23,512
A,686,1826.64,4650.0,194
A,687,4890.08,1096.1,856
A,688,2984.23,4813.13,680
A,689,4504.67,3126.84,3465
A,690,1740.85,4531.95,1255
A,691,3580.01,4772.74,816
A,692,1414.7,2941.16,2659
A,693,3590.0,4681.83,2366
A,694,1537.75,643.18,1201
A,695,1243.53,89.36,765
A,696,4217.87,4847.01,573
A,697,2627.95,2206.44,3480
A,698,490.19,3318.54,381
A,699,406.73,239.84,1082
A,700,3729.11,2344.21,3755
A,701,1579.2,3490.62,117
A,702,2237.32,474.77,1722
A,703,2435.49,613.1,2604
A,704,4421.16,3265.74,690
A,705,3682.72,4545.19,77
A,706,304.62,1835.58,711
A,707,4728.57,2395.33,1106
A,708,1024.48,3430.76,170
A,709,2557.29,1875.55,189
A,710,2096.52,3159.7,3017
A,711,3550.26,259.5,3293
A,712,1661.82,159.61,870
A,713,1640.17,3563.2,438
A,714,2254.82,566.33,75
A,715,76.57,4866.8,373
A,716,3657.24,3178.58,975
A,717,1708.19,4967.15,203
A,718,2515.25,2448.55,29
A,719,3458.41,3680.97,966
A,720,1005.66,2207.5,339
A,721,194.09,2798.2,292
A,722,4789.4,2993.12,164
A,723,3970.92,4832.01,978
A,724,4527.87,763.76,538
A,725,3365.54,1931.35,1872
A,726,1159.22,1599.14,144
A,727,1540.86,3780.97,983
A,728,4346.5,1397.36,677
A,729,778.46,4.7,31
A,730,4007.9,1673.8,793
A,731,538.89,851.8,2454
A,732,4532.86,2576.21,1359
A,733,3451.37,3028.23,1048
A,734,2864.97,832.83,539
A,735,4276.19,4874.75,286
A,736,3779.67,936.97,1199
A,737,2810.77,2955.05,37
A,738,4344.05,4244.15,248
A,739,2766.01,3249.58,104
A,740,2883.2,520.43,635
A,741,811.53,449.55,1135
A,742,137.32,1890.36,1389
A,743,3263.51,160.78,278
A,744,1843.78,2452.08,174
A,745,279.1,4860.3,2258
A,746,4858.87,1698.64,613
A,747,549.48,5004.98,3952
A,748,2799.91,1616.43,185
A,749,4730.66,2307.45,1380
A,750,2589.51,2420.75,456
A,751,1927.9,1351.86,160
A,752,1628.39,3420.82,703
A,753,2097.75,1562.44,2986
A,754,4097.27,3655.02,1324
A,755,2257.6,4880.39,630
A,756,1317.76,1157.76,922
A,757,867.76,4963.34,259
A,758,2136.93,2278.14,712
A,759,3182.78,3297.77,477
A,760,1366.69,4873.69,1318
A,761,4240.21,2154.43,776
A,762,720.71,2850.69,2709
A,763,4507.49,2846.05,443
A,764,120.09,3382.77,599
A,765,2783.44,3809.19,949
A,766,3107.9,3185.76,1216
A,767,1125.35,2188.9,761
A,768,2235.85,3957.21,567
A,769,3040.12,2498.88,849
A,770,4135.06,456.89,3415
A,771,3998.88,398.75,1678
A,772,259.75,2502.63,837
A,773,1854.51,1626.05,2096
A,774,945.67,4610.39,1264
A,775,2802.75,3730.98,516
A,776,615.25,1368.98,3753
A,777,2644.58,1904.82,1170
A,778,4223.7,1388.97,805
A,779,2403.35,1620.57,365
A,780,2672.42,282.08,343
A,781,1635.78,2073.48,2808
A,782,3658.29,2257.57,104
A,783,4731.44,3033.0,187
A,784,2678.77,3923.66,22
A,785,1024.29,764.82,1027
A,786,2919.12,1724.6,450
A,787,4479.18,3984.53,1074
A,788,2903.12,3818.77,3112
A,789,337.53,921.78,1993
A,790,4353.53,3908.03,1739
A,791,2041.18,4597.68,2479
A,792,1193.57,2175.86,165
A,793,4556.4,3936.33,316
A,794,4393.04,1045.07,1016
A,795,2739.22,607.62,480
A,796,915.52,4995.82,488
A,797,1697.5,3357.9,523
A,798,3823.7,1622.8,167
A,799,3831.51,3962.41,589
A,800,3662.58,2604.03,219
A,801,480.44,2490.32,2229
A,802,1606.16,3819.11,2166
A,803,1593.35,1482.02,1507
A,804,889.77,2357.54,646
A,805,3578.22,3924.3,654
A,806,3406.14,1368.07,1105
A,807,2525.23,3430.3,446
A,808,3022.87,3227.5,1761
A,809,3428.79,2804.56,1688
A,810,2523.79,2549.02,611
A,811,4535.65,2519.13,1059
A,812,4832.0,589.26,2185
A,813,4461.12,823.2,336
A,814,2191.25,4593.38,141
A,815,2012.22,369.44,792
A,816,4994.13,2824.37,850
A,817,1820.4,2987.99,5085
A,818,4081.63,1317.66,1450
A,819,2710.21,2845.41,1093
A,820,828.02,2622.82,708
A,821,2900.3,3633.6,320
A,822,167.28,4606.58,619
A,823,1904.04,3097.19,626
A,824,2229.9,3795.58,689
A,825,1211.65,1224.84,487
A,826,825.95,2599.71,1913
A,827,4155.43,4734.05,1844
A,828,3395.44,2677.07,310
A,829,2135.73,1156.86,296
A,830,4226.03,4914.12,453
A,831,4696.7,3058.72,530
A,832,3224.95,619.87,356
A,833,242.53,4554.2,670
A,834,1629.14,1332.48,764
A,835,4850.77,2425.84,600
A,836,3630.39,1868.08,131
A,837,2481.44,493.04,1085
A,838,3329.27,1096.56,2366
A,839,3260.32,710.9,319
A,840,2419.44,3410.46,665
A,841,3654.21,4915.81,1375
A,842,4534.55,4435.66,709
A,843,1809.93,3465.95,2387
A,844,2576.16,4407.95,13
A,845,1462.65,1937.49,1606
A,846,83.4,657.63,518
A,847,2479.77,4288.19,800
A,848,3201.04,3374.63,1279
A,849,2515.97,755.47,329
A,850,198.69,4160.91,3799
A,851,4717.38,3968.59,1896
A,852,1112.71,1083.29,793
A,853,1548.06,4930.06,213
A,854,3766.5,2891.94,1977
A,855,3865.18,3488.08,1233
A,856,3111.37,4563.95,305
A,857,3582.91,3935.21,1608
A,858,2359.54,2307.64,1306
A,859,326.47,1139.04,997
A,860,4403.73,1467.9,2292
A,861,347.39,4198.93,973
A,862,3646.45,3755.09,299
A,863,2023.97,2036.96,109
A,864,4868.95,1801.3,2365
A,865,4971.82,1064.07,275
A,866,1168.62,3258.89,30
A,867,1581.04,3847.75,84
A,868,1278.12,2304.68,304
A,869,1809.83,4361.96,637
A,870,4645.79,3437.03,1786
A,871,1717.32,4261.05,50
A,872,13.11,1255.5,1631
